date,close,start,high,low,volume
2013-04-01,262.27,264.16,264.19,262.03,53.07
2013-03-29,263.39,263.88,264.74,263.31,63.24
2013-03-28,261.86,261.44,262.28,260.84,60.92
2013-03-27,261.86,261.7,262.5,259.02,63.43
2013-03-26,260.54,259.42,261.63,259.22,69.09
2013-03-25,259.58,258.18,260.18,258.06,66.16
2013-03-22,255.33,255.61,256.54,255.1,71.33
2013-03-21,255.82,258.34,258.9,255.82,65.45
2013-03-20,257.04,258.3,259.81,257.04,86.77
2013-03-19,259.79,259.69,261.42,258.85,98.14
2013-03-18,258.3,259.03,260.15,258.17,61.65
2013-03-15,260.84,264.44,264.44,260.83,85.51
2013-03-14,263.37,263.41,263.41,260.08,76.66
2013-03-13,263.33,262.69,263.38,261.67,64.16
2013-03-12,262.43,264.66,264.75,262.01,58.27
2013-03-11,264.15,263.75,264.81,261.5,65.57
2013-03-08,264.57,264.25,264.92,263.1,62.07
2013-03-07,264.78,266.83,266.83,263.88,67.35
2013-03-06,267.25,269.01,269.12,266.62,86.66
2013-03-05,266.54,267.57,268.88,266.54,64.85
2013-03-04,266.14,268.51,268.61,265.78,72.09
2013-02-28,268.01,267.13,268.95,266.69,79.51
2013-02-27,265.04,265.91,266.94,264.57,64.99
2013-02-26,264.68,263.76,265.71,263.57,86.85
2013-02-25,266.01,267.7,267.96,265.89,62.74
2013-02-22,267.15,265.63,268.89,265.56,86.92
2013-02-21,266.85,266.64,267.73,266.1,80.76
2013-02-20,268.07,263.79,268.07,263.51,96.25
2013-02-19,262.16,261.64,262.89,261.28,58.78
2013-02-18,261.63,261.3,262.29,260.49,56.46
2013-02-15,261.61,261.58,261.85,260.79,88.34
2013-02-14,261.44,261.14,262.52,260.41,66.98
2013-02-13,260.92,257.65,260.97,257.22,72.43
2013-02-12,256.65,258.33,258.44,256.35,54.16
2013-02-08,257.09,253.8,257.9,253.61,74.46
2013-02-07,254,254.68,255.97,253.8,69.49
2013-02-06,254.31,255.44,255.64,254.21,71.92
2013-02-05,254.82,254.49,255.77,253.5,76.72
2013-02-04,256.89,259.28,259.35,256.77,76.36
2013-02-01,257.64,258.57,259.01,255.48,80.95
2013-01-31,258.07,257.71,258.44,256.94,89.01
2013-01-30,258.47,258.08,258.85,256.42,89.96
2013-01-29,257.22,255.69,257.66,255.42,79.5
2013-01-28,254.66,255.01,255.43,253.49,81.35
2013-01-25,256.06,258.94,259.06,254.62,79.57
2013-01-24,258.74,259.69,260.99,258.15,83.48
2013-01-23,261.1,264.04,264.83,261.1,107.09
2013-01-22,262.91,261.25,263.35,260.79,97.43
2013-01-21,261.3,261.59,262.25,259.36,80.47
2013-01-18,261.71,262.02,262.08,260.08,98.8
2013-01-17,260.1,261.44,261.88,258.65,91.56
2013-01-16,260.49,262.07,263.34,259.42,109.61
2013-01-15,261.43,264.82,266.21,261.43,129.6
2013-01-14,264.8,262.84,264.8,262.18,123.55
2013-01-11,263.32,266.47,266.58,261.49,103.87
2013-01-10,264.95,263.09,265.25,262.13,96.08
2013-01-09,262.9,264.48,265.42,262.53,83.54
2013-01-08,263.95,264.81,265.87,263.95,81.34
2013-01-07,265.97,266.12,266.43,263.87,76.68
2013-01-04,266.14,267.23,267.46,264.74,103.7
2013-01-03,267.52,270.54,270.74,267.45,149.95
2013-01-02,269.16,266.24,269.51,266.1,91.36
2012-12-28,263.92,262.27,264.83,262.25,64.4
2012-12-27,262.68,261.64,262.83,260.45,61.7
2012-12-26,261.97,263.61,264.91,261.94,70.57
2012-12-24,262.11,262.39,262.72,261.32,69.27
2012-12-21,261.89,265.45,265.46,261.22,101.25
2012-12-20,264.78,265.36,265.98,263.72,130.59
2012-12-18,264.23,263.76,264.23,262.27,98.47
2012-12-17,262.76,264.17,265.07,262.51,95.35
2012-12-14,264.56,263.76,265.51,263.08,93.77
2012-12-13,265.79,261.84,265.79,261.76,110.72
2012-12-12,261.67,261.19,261.67,260.54,97.87
2012-12-11,260.12,259.7,260.27,258.96,91.6
2012-12-10,259.03,260.06,260.75,258.79,56.32
2012-12-07,258.78,257.75,259.42,257.63,68.62
2012-12-06,257.27,256.97,257.85,256.39,71.83
2012-12-05,256.63,254.58,257.02,254.19,62.42
2012-12-04,254.83,254.5,255.3,253.72,51.11
2012-12-03,255.57,254.91,256.07,254.42,55.44
2012-11-30,254.25,254.45,255.95,253.79,80.31
2012-11-29,254.73,253.03,254.79,252.92,82.95
2012-11-28,251.72,251.99,252.26,250.88,56.74
2012-11-27,253.41,251.94,254.27,251.55,75.32
2012-11-26,250.73,252.26,252.31,250.45,52.93
2012-11-23,251.44,249.83,251.44,248.99,50.34
2012-11-22,249.51,248.5,250.09,248.25,51.86
2012-11-21,247.02,248.52,249,246.11,61.79
2012-11-20,247.72,248.42,248.55,247.11,56.56
2012-11-19,245.82,244.71,246.78,244.62,54.02
2012-11-16,243.45,243.88,244.92,242.9,75.18
2012-11-15,244.64,244.65,245.27,243.34,79.08
2012-11-14,247.8,247.17,247.81,245.81,79.34
2012-11-13,246.9,248.55,248.65,245.67,75.63
2012-11-12,248.18,247.87,248.58,246.91,65.57
